LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
AUS,EMP,TOT,PC_WKGPOP,2007,72.80006
AUS,EMP,TOT,PC_WKGPOP,2008,73.20431
AUS,EMP,TOT,PC_WKGPOP,2009,72.05107
AUS,EMP,TOT,PC_WKGPOP,2010,72.37024
AUS,EMP,TOT,PC_WKGPOP,2011,72.65786
AUS,EMP,TOT,PC_WKGPOP,2012,72.34309
AUS,EMP,TOT,PC_WKGPOP,2013,71.96675
AUS,EMP,TOT,PC_WKGPOP,2014,71.56361
AUS,EMP,TOT,PC_WKGPOP,2015,72.15628
AUS,EMP,TOT,PC_WKGPOP,2016,72.43055
AUT,EMP,TOT,PC_WKGPOP,2007,69.875
AUT,EMP,TOT,PC_WKGPOP,2008,70.825
AUT,EMP,TOT,PC_WKGPOP,2009,70.325
AUT,EMP,TOT,PC_WKGPOP,2010,70.775
AUT,EMP,TOT,PC_WKGPOP,2011,71.1
AUT,EMP,TOT,PC_WKGPOP,2012,71.425
AUT,EMP,TOT,PC_WKGPOP,2013,71.4
AUT,EMP,TOT,PC_WKGPOP,2014,71.075
AUT,EMP,TOT,PC_WKGPOP,2015,71.1
AUT,EMP,TOT,PC_WKGPOP,2016,71.55
BEL,EMP,TOT,PC_WKGPOP,2007,62.025
BEL,EMP,TOT,PC_WKGPOP,2008,62.4
BEL,EMP,TOT,PC_WKGPOP,2009,61.6
BEL,EMP,TOT,PC_WKGPOP,2010,62.025
BEL,EMP,TOT,PC_WKGPOP,2011,61.925
BEL,EMP,TOT,PC_WKGPOP,2012,61.825
BEL,EMP,TOT,PC_WKGPOP,2013,61.8
BEL,EMP,TOT,PC_WKGPOP,2014,61.9
BEL,EMP,TOT,PC_WKGPOP,2015,61.8
BEL,EMP,TOT,PC_WKGPOP,2016,62.3
CAN,EMP,TOT,PC_WKGPOP,2007,73.5
CAN,EMP,TOT,PC_WKGPOP,2008,73.525
CAN,EMP,TOT,PC_WKGPOP,2009,71.38333
CAN,EMP,TOT,PC_WKGPOP,2010,71.475
CAN,EMP,TOT,PC_WKGPOP,2011,71.84167
CAN,EMP,TOT,PC_WKGPOP,2012,72.05
CAN,EMP,TOT,PC_WKGPOP,2013,72.44167
CAN,EMP,TOT,PC_WKGPOP,2014,72.30833
CAN,EMP,TOT,PC_WKGPOP,2015,72.50833
CAN,EMP,TOT,PC_WKGPOP,2016,72.56667
CZE,EMP,TOT,PC_WKGPOP,2007,66.075
CZE,EMP,TOT,PC_WKGPOP,2008,66.55
CZE,EMP,TOT,PC_WKGPOP,2009,65.375
CZE,EMP,TOT,PC_WKGPOP,2010,64.975
CZE,EMP,TOT,PC_WKGPOP,2011,65.725
CZE,EMP,TOT,PC_WKGPOP,2012,66.55
CZE,EMP,TOT,PC_WKGPOP,2013,67.725
CZE,EMP,TOT,PC_WKGPOP,2014,68.975
CZE,EMP,TOT,PC_WKGPOP,2015,70.225
CZE,EMP,TOT,PC_WKGPOP,2016,71.95
DNK,EMP,TOT,PC_WKGPOP,2007,77
DNK,EMP,TOT,PC_WKGPOP,2008,77.85
DNK,EMP,TOT,PC_WKGPOP,2009,75.375
DNK,EMP,TOT,PC_WKGPOP,2010,73.35
DNK,EMP,TOT,PC_WKGPOP,2011,73.15
DNK,EMP,TOT,PC_WKGPOP,2012,72.575
DNK,EMP,TOT,PC_WKGPOP,2013,72.55
DNK,EMP,TOT,PC_WKGPOP,2014,72.8
DNK,EMP,TOT,PC_WKGPOP,2015,73.5
DNK,EMP,TOT,PC_WKGPOP,2016,74.85
FIN,EMP,TOT,PC_WKGPOP,2007,70.3
FIN,EMP,TOT,PC_WKGPOP,2008,71.05
FIN,EMP,TOT,PC_WKGPOP,2009,68.725
FIN,EMP,TOT,PC_WKGPOP,2010,68.15
FIN,EMP,TOT,PC_WKGPOP,2011,69.025
FIN,EMP,TOT,PC_WKGPOP,2012,69.375
FIN,EMP,TOT,PC_WKGPOP,2013,68.875
FIN,EMP,TOT,PC_WKGPOP,2014,68.725
FIN,EMP,TOT,PC_WKGPOP,2015,68.55
FIN,EMP,TOT,PC_WKGPOP,2016,69.075
FRA,EMP,TOT,PC_WKGPOP,2007,64.35
FRA,EMP,TOT,PC_WKGPOP,2008,64.925
FRA,EMP,TOT,PC_WKGPOP,2009,64.075
FRA,EMP,TOT,PC_WKGPOP,2010,64
FRA,EMP,TOT,PC_WKGPOP,2011,63.9
FRA,EMP,TOT,PC_WKGPOP,2012,64.025
FRA,EMP,TOT,PC_WKGPOP,2013,64.05
FRA,EMP,TOT,PC_WKGPOP,2014,63.65
FRA,EMP,TOT,PC_WKGPOP,2015,63.825
FRA,EMP,TOT,PC_WKGPOP,2016,64.2
DEU,EMP,TOT,PC_WKGPOP,2007,68.975
DEU,EMP,TOT,PC_WKGPOP,2008,70.1
DEU,EMP,TOT,PC_WKGPOP,2009,70.325
DEU,EMP,TOT,PC_WKGPOP,2010,71.25
DEU,EMP,TOT,PC_WKGPOP,2011,72.7
DEU,EMP,TOT,PC_WKGPOP,2012,73
DEU,EMP,TOT,PC_WKGPOP,2013,73.5
DEU,EMP,TOT,PC_WKGPOP,2014,73.775
DEU,EMP,TOT,PC_WKGPOP,2015,73.975
DEU,EMP,TOT,PC_WKGPOP,2016,74.65
GRC,EMP,TOT,PC_WKGPOP,2007,60.875
GRC,EMP,TOT,PC_WKGPOP,2008,61.425
GRC,EMP,TOT,PC_WKGPOP,2009,60.85
GRC,EMP,TOT,PC_WKGPOP,2010,59.1
GRC,EMP,TOT,PC_WKGPOP,2011,55.1
GRC,EMP,TOT,PC_WKGPOP,2012,50.8
GRC,EMP,TOT,PC_WKGPOP,2013,48.8
GRC,EMP,TOT,PC_WKGPOP,2014,49.425
GRC,EMP,TOT,PC_WKGPOP,2015,50.8
GRC,EMP,TOT,PC_WKGPOP,2016,52.025
HUN,EMP,TOT,PC_WKGPOP,2007,57.025
HUN,EMP,TOT,PC_WKGPOP,2008,56.4
HUN,EMP,TOT,PC_WKGPOP,2009,55.05
HUN,EMP,TOT,PC_WKGPOP,2010,54.95
HUN,EMP,TOT,PC_WKGPOP,2011,55.425
HUN,EMP,TOT,PC_WKGPOP,2012,56.675
HUN,EMP,TOT,PC_WKGPOP,2013,58.075
HUN,EMP,TOT,PC_WKGPOP,2014,61.775
HUN,EMP,TOT,PC_WKGPOP,2015,63.95
HUN,EMP,TOT,PC_WKGPOP,2016,66.525
ISL,EMP,TOT,PC_WKGPOP,2007,85.15
ISL,EMP,TOT,PC_WKGPOP,2008,83.575
ISL,EMP,TOT,PC_WKGPOP,2009,78.325
ISL,EMP,TOT,PC_WKGPOP,2010,78.175
ISL,EMP,TOT,PC_WKGPOP,2011,78.475
ISL,EMP,TOT,PC_WKGPOP,2012,79.675
ISL,EMP,TOT,PC_WKGPOP,2013,81.1
ISL,EMP,TOT,PC_WKGPOP,2014,82.95
ISL,EMP,TOT,PC_WKGPOP,2015,84.725
ISL,EMP,TOT,PC_WKGPOP,2016,86.525
IRL,EMP,TOT,PC_WKGPOP,2007,71.725
IRL,EMP,TOT,PC_WKGPOP,2008,69.675
IRL,EMP,TOT,PC_WKGPOP,2009,63.65
IRL,EMP,TOT,PC_WKGPOP,2010,61
IRL,EMP,TOT,PC_WKGPOP,2011,60.05
IRL,EMP,TOT,PC_WKGPOP,2012,59.9
IRL,EMP,TOT,PC_WKGPOP,2013,61.725
IRL,EMP,TOT,PC_WKGPOP,2014,63.1
IRL,EMP,TOT,PC_WKGPOP,2015,64.725
IRL,EMP,TOT,PC_WKGPOP,2016,66.45
ITA,EMP,TOT,PC_WKGPOP,2007,58.575
ITA,EMP,TOT,PC_WKGPOP,2008,58.65
ITA,EMP,TOT,PC_WKGPOP,2009,57.35
ITA,EMP,TOT,PC_WKGPOP,2010,56.75
ITA,EMP,TOT,PC_WKGPOP,2011,56.8
ITA,EMP,TOT,PC_WKGPOP,2012,56.625
ITA,EMP,TOT,PC_WKGPOP,2013,55.525
ITA,EMP,TOT,PC_WKGPOP,2014,55.7
ITA,EMP,TOT,PC_WKGPOP,2015,56.275
ITA,EMP,TOT,PC_WKGPOP,2016,57.25
JPN,EMP,TOT,PC_WKGPOP,2007,70.77606
JPN,EMP,TOT,PC_WKGPOP,2008,70.8734
